PID,POS,X,Y,block
32,46,-129.503059387207,53.2744524759412,32
32,47,-129.50855255127,53.2779424509682,32
32,48,-129.51473236084,53.27404187191,32
32,49,-129.51473236084,53.2787635801516,32
32,50,-129.515419006348,53.2834847668194,32
32,51,-129.527435302734,53.2880001964741,32
32,52,-129.536361694336,53.2916942840056,32
32,53,-129.529495239258,53.2941568315766,32
32,54,-129.521255493164,53.2937464168396,32
32,55,-129.517135620117,53.2927203627454,32
32,56,-129.515762329102,53.2955932521035,32
32,57,-129.520225524902,53.2974400075184,32
32,58,-129.524002075195,53.2990815008548,32
32,59,-129.529495239258,53.301953962388,32
32,60,-129.52709197998,53.3060571437192,32
32,61,-129.521255493164,53.3074931640374,32
32,62,-129.515419006348,53.3068777326722,32
32,63,-129.516105651855,53.3009281054481,32
32,64,-129.510955810547,53.293951624701,32
32,65,-129.509582519531,53.2925151489691,32
32,66,-129.509239196777,53.2880001964741,32
32,67,-129.504776000977,53.2851267964493,32
32,68,-129.503746032715,53.2828689894407,32
32,69,-129.499282836914,53.2869740043619,32
32,70,-129.495162963867,53.2828689894407,32
32,71,-129.493789672852,53.2828689894407,32
32,72,-129.492073059082,53.2797899694468,32
32,73,-129.49104309082,53.2417971472219,32
32,74,-129.492073059082,53.2348110108483,32
33,1,-129.492073059082,53.2321395397145,33
33,2,-129.491729736328,53.2407698457374,33
33,3,-129.489326477051,53.2411807692903,33
33,4,-129.490013122559,53.2436462277549,33
33,5,-129.492073059082,53.2818426740911,33
33,6,-129.489326477051,53.2836900239738,33
33,7,-129.486236572266,53.2806110631358,33
33,8,-129.479713439941,53.2849215461962,33
33,9,-129.479026794434,53.2892315944752,33
33,10,-129.46907043457,53.2953880521285,33
33,11,-129.468727111816,53.3021591308188,33
33,12,-129.468040466309,53.3044159185004,33
33,13,-129.46907043457,53.3054416916548,33
33,14,-129.400749206543,53.3052365389954,33
33,15,-129.410018920898,53.2992866830859,33
33,16,-129.415168762207,53.2962088461138,33
33,17,-129.414138793945,53.2933359981593,33
33,18,-129.40315246582,53.2951828511676,33
33,19,-129.395599365234,53.2976451976356,33
33,20,-129.390106201172,53.2964140421457,33
33,21,-129.380149841309,53.2964140421457,33
33,22,-129.368476867676,53.2988763176379,33
33,23,-129.368476867676,53.2816374080634,33
33,24,-129.375343322754,53.2795846935597,33
33,25,-129.377403259277,53.2760948526259,33
33,26,-129.371223449707,53.275068374593,33
33,27,-129.372253417969,53.2717834792382,33
33,28,-129.369163513184,53.2703462581453,33
33,29,-129.380836486816,53.2592574999252,33
33,30,-129.369163513184,53.2592574999252,33
33,31,-129.368476867676,53.2547390332753,33
33,32,-129.373970031738,53.2504255062008,33
33,33,-129.368476867676,53.2469332847727,33
33,34,-129.372253417969,53.2452897878255,33
33,35,-129.371910095215,53.240975308007,33
33,36,-129.37328338623,53.238098746474,33
33,37,-129.369850158691,53.2358384553572,33
33,38,-129.369850158691,53.2323450434126,33
33,39,-129.492073059082,53.2321395397145,33
33,40,-129.492073059082,53.2321395397145,33
33,41,-129.491729736328,53.2407698457374,33
33,42,-129.489326477051,53.2411807692903,33
33,43,-129.490013122559,53.2436462277549,33
33,44,-129.492073059082,53.2818426740911,33
33,45,-129.489326477051,53.2836900239738,33
33,46,-129.486236572266,53.2806110631358,33
33,47,-129.479713439941,53.2849215461962,33
33,48,-129.479026794434,53.2892315944752,33
33,49,-129.46907043457,53.2953880521285,33
33,50,-129.468727111816,53.3021591308188,33
33,51,-129.468040466309,53.3044159185004,33
33,52,-129.46907043457,53.3054416916548,33
33,53,-129.400749206543,53.3052365389954,33
33,54,-129.410018920898,53.2992866830859,33
33,55,-129.415168762207,53.2962088461138,33
33,56,-129.414138793945,53.2933359981593,33
33,57,-129.40315246582,53.2951828511676,33
33,58,-129.395599365234,53.2976451976356,33
33,59,-129.390106201172,53.2964140421457,33
33,60,-129.380149841309,53.2964140421457,33
33,61,-129.368476867676,53.2988763176379,33
33,62,-129.368476867676,53.2816374080634,33
33,63,-129.375343322754,53.2795846935597,33
33,64,-129.377403259277,53.2760948526259,33
33,65,-129.371223449707,53.275068374593,33
33,66,-129.372253417969,53.2717834792382,33
33,67,-129.369163513184,53.2703462581453,33
33,68,-129.380836486816,53.2592574999252,33
33,69,-129.369163513184,53.2592574999252,33
33,70,-129.368476867676,53.2547390332753,33
33,71,-129.373970031738,53.2504255062008,33
33,72,-129.368476867676,53.2469332847727,33
33,73,-129.372253417969,53.2452897878255,33
33,74,-129.371910095215,53.240975308007,33
33,75,-129.37328338623,53.238098746474,33
33,76,-129.369850158691,53.2358384553572,33
33,77,-129.369850158691,53.2323450434126,33
33,78,-129.492073059082,53.2321395397145,33
34,1,-129.364700317383,53.2325505461242,34
34,2,-129.35302734375,53.2395370514064,34
34,3,-129.35302734375,53.2424135162766,34
34,4,-129.34513092041,53.2465224164537,34
34,5,-129.346160888672,53.2553552159249,34
34,6,-129.341011047363,53.2598736174868,34
34,7,-129.338264465332,53.2633647826913,34
34,8,-129.329681396484,53.2670609999276,34
34,9,-129.329681396484,53.2695249672564,34
34,10,-129.321441650391,53.2705515784024,34
